uid,capacities_left,end_of_booking_iso_weekday,end_of_booking_time,departure_iso_weekday,departure_time,departure_day,arrival_iso_weekday,arrival_time,arrival_day,total_distance,transit_label,transit_hours,truck_emission_CO2e_WTW_TON,train_emission_CO2e_WTW_TON,train_vs_truck_CO2e_reduction_percent,route_hash_key,text,from_terminal_uid,to_terminal_uid,from_terminal_name,from_terminal_city,from_terminal_country,to_terminal_name,to_terminal_city,to_terminal_country,distance,transit_time_hours,sequence_number,operator_uid,operator_name,container20,container30,container40,container45,swapBody,tankContainer,semiTrailer,nikrasa,bulk,roLa,hazardousGoods
00c3451c-a5e6-435a-af6d-2183933488a3,True,1,00:00,1,00:00,Monday,1,00:00,Monday,0,0:00:00,0.0,0.47,0.13,0,076e925a302c31294ff50b9b5c09fc92,,0ed241d8-bfe9-4a78-b795-cb74827ab207,0871f9ac-9480-4cbb-ae8f-48e34716b792,Hamburg-Altenwerder (CTA),Hamburg,Germany,Sägewerk SCHWAIGER,Hengersberg,Germany,0,0,3,44789e02-90bc-4df5-85ca-055576a4adbb,NeCoSS GmbH Neutral Container Shuttle System,True,True,True,True,True,True,False,False,False,False,False
00cb09bf-c4b0-4e81-b0a4-5e3079b42a35,True,3,19:00,3,21:00,Wednesday,5,06:30,Friday,818.6796056925194,"1 day, 9:30:00",33.5,0.56,0.13,76.78571428571429,b5c54e0f59be4394b40709e0cf980945,,e712b7a8-bd57-41ff-91e9-8eefb6afd193,8f67710e-516a-491c-a558-9ef1827dff96,Novara CIM,Novara,Italy,Terminal Intermodale Bari Ferruccio,Bari,Italy,818.6796056925194,33.5,1,a266efec-31db-41cc-b8ad-4171da70d74a,Hupac Intermodal SA,False,False,False,False,False,False,False,False,False,False,False
00d70e3c-fbd4-446a-8b32-5cb174d56984,True,3,04:30,3,06:30,Wednesday,4,08:00,Thursday,665.3408370515436,"1 day, 1:30:00",25.5,0.48,0.12,75.0,026097c9402ffc0e55220114c6d11337,,33fffdc0-b524-405a-911b-db7bd84368ff,486e785b-076c-4ece-b3c9-4ea7800fc25b,Köln-Eifeltor,Köln,Germany,Malmö KT,Malmö,Sweden,665.3408370515436,25.5,1,0c44ddd7-1298-4677-8a23-627db6c818e5,Kombiverkehr Deutsche Gesellschaft für kombinierten Güterverkehr GmbH & Co. KG,False,False,False,False,False,False,False,False,False,False,False
00e3f4e7-65e9-42e9-92b3-f10af987f2d3,True,1,00:00,1,00:00,Monday,1,00:00,Monday,0,0:00:00,0.0,0.059,0.014,0,dba83e033ac0c8410a40d18868929f37,,348ce0ad-c8dd-4df9-bbb6-698c942f9dbf,0f21de82-f343-4fe4-8409-4b54cf1ca6ee,ECT Delta Terminal,Rotterdam,Netherlands,Euromax Terminal Rotterdam,Rotterdam,Netherlands,0,0,1,d8a2d57e-f5f9-4365-875e-d3018c0900c8,GVT Intermodal B.V.,False,False,False,False,False,False,False,False,False,False,False
00e3f4e7-65e9-42e9-92b3-f10af987f2d3,True,1,00:00,1,00:00,Monday,1,00:00,Monday,0,0:00:00,0.0,0.059,0.014,0,dba83e033ac0c8410a40d18868929f37,,0f21de82-f343-4fe4-8409-4b54cf1ca6ee,26ac774b-e363-4299-9451-75dc464f7a5b,Euromax Terminal Rotterdam,Rotterdam,Netherlands,APM Terminals Rotterdam,Rotterdam,Netherlands,0,0,2,d8a2d57e-f5f9-4365-875e-d3018c0900c8,GVT Intermodal B.V.,False,False,False,False,False,False,False,False,False,False,False
00e3f4e7-65e9-42e9-92b3-f10af987f2d3,True,1,00:00,1,00:00,Monday,1,00:00,Monday,0,0:00:00,0.0,0.059,0.014,0,dba83e033ac0c8410a40d18868929f37,,26ac774b-e363-4299-9451-75dc464f7a5b,60233dd8-08e4-42b1-b336-f1722e529e1c,APM Terminals Rotterdam,Rotterdam,Netherlands,APM Terminals Maasvlakte II B.V,Rotterdam,Netherlands,0,0,3,d8a2d57e-f5f9-4365-875e-d3018c0900c8,GVT Intermodal B.V.,False,False,False,False,False,False,False,False,False,False,False
00e3f4e7-65e9-42e9-92b3-f10af987f2d3,True,1,00:00,1,00:00,Monday,1,00:00,Monday,0,0:00:00,0.0,0.059,0.014,0,dba83e033ac0c8410a40d18868929f37,,60233dd8-08e4-42b1-b336-f1722e529e1c,22ee061e-4a48-4976-b157-7f064f0eeae1,APM Terminals Maasvlakte II B.V,Rotterdam,Netherlands,RWG Rotterdam World Gateway,Rotterdam,Netherlands,0,0,4,d8a2d57e-f5f9-4365-875e-d3018c0900c8,GVT Intermodal B.V.,False,False,False,False,False,False,False,False,False,False,False
00e3f4e7-65e9-42e9-92b3-f10af987f2d3,True,1,00:00,1,00:00,Monday,1,00:00,Monday,0,0:00:00,0.0,0.059,0.014,0,dba83e033ac0c8410a40d18868929f37,,22ee061e-4a48-4976-b157-7f064f0eeae1,6467bafd-ae6a-48ec-933f-18375075bcee,RWG Rotterdam World Gateway,Rotterdam,Netherlands,Rail Terminal Tilburg,Tilburg,Netherlands,0,0,5,d8a2d57e-f5f9-4365-875e-d3018c0900c8,GVT Intermodal B.V.,False,False,False,False,False,False,False,False,False,False,False
00e48d10-2f3d-4d31-b8de-0a1f5c7dd617,True,5,15:30,5,17:30,Friday,1,06:00,Monday,810.4350941529516,"2 days, 12:30:00",60.5,0.657,0.067,89.80213089802132,63dcd0537de12e6df0659c3a99f5db14,,e001bb72-ce26-49b1-99a1-0bc5dcec88d3,16d15804-ef22-421a-ab7e-8cb37634430c,CTT Rotterdam,Rotterdam,Netherlands,Terminal Intermodale di Mortara,Mortara,Italy,810.4350941529516,60.5,1,0c44ddd7-1298-4677-8a23-627db6c818e5,Kombiverkehr Deutsche Gesellschaft für kombinierten Güterverkehr GmbH & Co. KG,False,False,False,False,False,False,False,False,False,False,False
00f4f7d0-4709-495b-a5a0-7a1fca64345b,True,5,16:00,1,17:30,Monday,2,11:30,Tuesday,590.694348554605,18:00:00,18.0,0.41,0.11,73.17073170731707,1bb25da64050d1aea77e75a49c95da38,,dad69a93-92de-4a67-b261-9d2a83dfbc3b,be6cb9fe-fc75-4144-8414-88a9d0d903ca,Høje-Taastrup Combiterminal,Taastrup,Denmark,Samskip Multimodal Rail Terminal Duisburg,Duisburg,Germany,590.694348554605,18.0,1,37d37184-4789-43e3-9e30-b30dfbda06c5,Samskip Van Dieren Multimodal BV,False,False,False,False,False,False,False,False,False,False,False
